Year,Month,Number of Households,Median Income (dollars),Zip Code
2013,3,21146,91870.5,75002
2013,4,21168,91844.0,75002
2013,5,21189,91817.5,75002
2013,6,21211,91791.0,75002
2013,7,21232,91764.5,75002
2013,8,21254,91738.0,75002
2013,9,21275,91711.5,75002
2013,10,21297,91685.0,75002
2013,11,21318,91658.5,75002
2013,12,21340,91632.0,75002
2014,1,21359,91827.41666666667,75002
2014,2,21378,92022.83333333333,75002
2014,3,21397,92218.25,75002
2014,4,21416,92413.66666666667,75002
2014,5,21435,92609.08333333333,75002
2014,6,21454,92804.5,75002
2014,7,21473,92999.91666666667,75002
2014,8,21492,93195.33333333333,75002
2014,9,21511,93390.75,75002
2014,10,21530,93586.16666666667,75002
2014,11,21549,93781.58333333333,75002
2014,12,21569,93977.0,75002
2015,1,21609,94171.75,75002
2015,2,21649,94366.5,75002
2015,3,21690,94561.25,75002
2015,4,21730,94756.0,75002
2015,5,21770,94950.75,75002
2015,6,21811,95145.5,75002
2015,7,21851,95340.25,75002
2015,8,21891,95535.0,75002
2015,9,21932,95729.75,75002
2015,10,21972,95924.5,75002
2015,11,22012,96119.25,75002
2015,12,22053,96314.0,75002
2016,1,22048,96292.83333333333,75002
2016,2,22044,96271.66666666667,75002
2016,3,22039,96250.5,75002
2016,4,22035,96229.33333333333,75002
2016,5,22030,96208.16666666667,75002
2016,6,22026,96187.0,75002
2016,7,22022,96165.83333333333,75002
2016,8,22017,96144.66666666667,75002
2016,9,22013,96123.5,75002
2016,10,22008,96102.33333333333,75002
2016,11,22004,96081.16666666667,75002
2016,12,22000,96060.0,75002
2011,1,16534,57274.0,75006
2011,2,16534,57274.0,75006
2011,3,16534,57274.0,75006
2011,4,16534,57274.0,75006
2011,5,16534,57274.0,75006
2011,6,16534,57274.0,75006
2011,7,16534,57274.0,75006
2011,8,16534,57274.0,75006
2011,9,16534,57274.0,75006
2011,10,16534,57274.0,75006
2011,11,16534,57274.0,75006
2011,12,16534,57274.0,75006
2012,1,16548,57251.333333333336,75006
2012,2,16563,57228.666666666664,75006
2012,3,16578,57206.0,75006
2012,4,16592,57183.333333333336,75006
2012,5,16607,57160.666666666664,75006
2012,6,16622,57138.0,75006
2012,7,16636,57115.333333333336,75006
2012,8,16651,57092.666666666664,75006
2012,9,16666,57070.0,75006
2012,10,16680,57047.333333333336,75006
2012,11,16695,57024.666666666664,75006
2012,12,16710,57002.0,75006
2013,1,16740,57000.583333333336,75006
2013,2,16770,56999.166666666664,75006
2013,3,16801,56997.75,75006
2013,4,16831,56996.333333333336,75006
2013,5,16862,56994.916666666664,75006
2013,6,16892,56993.5,75006
2013,7,16922,56992.083333333336,75006
2013,8,16953,56990.666666666664,75006
2013,9,16983,56989.25,75006
2013,10,17014,56987.833333333336,75006
2013,11,17044,56986.416666666664,75006
2013,12,17075,56985.0,75006
2014,1,17077,57008.666666666664,75006
2014,2,17079,57032.333333333336,75006
2014,3,17081,57056.0,75006
2014,4,17083,57079.666666666664,75006
2014,5,17085,57103.333333333336,75006
2014,6,17088,57127.0,75006
2014,7,17090,57150.666666666664,75006
2014,8,17092,57174.333333333336,75006
2014,9,17094,57198.0,75006
2014,10,17096,57221.666666666664,75006
2014,11,17098,57245.333333333336,75006
2014,12,17101,57269.0,75006
2015,1,17129,57299.833333333336,75006
2015,2,17158,57330.666666666664,75006
2015,3,17187,57361.5,75006
2015,4,17215,57392.333333333336,75006
2015,5,17244,57423.166666666664,75006
2015,6,17273,57454.0,75006
2015,7,17301,57484.833333333336,75006
2015,8,17330,57515.666666666664,75006
2015,9,17359,57546.5,75006
2015,10,17387,57577.333333333336,75006
2015,11,17416,57608.166666666664,75006
2015,12,17445,57639.0,75006
2016,1,17478,57550.5,75006
2016,2,17512,57462.0,75006
2016,3,17546,57373.5,75006
2016,4,17580,57285.0,75006
2016,5,17614,57196.5,75006
2016,6,17648,57108.0,75006
2016,7,17682,57019.5,75006
2016,8,17716,56931.0,75006
2016,9,17750,56842.5,75006
2016,10,17784,56754.0,75006
