,Mortgage Rate,year,month
253,7.62,1997,4
254,7.48,1997,3
255,7.15,1997,2
256,7.38,1997,1
257,7.16,1996,12
258,7.04,1996,11
259,7.37,1996,10
260,7.68,1996,9
261,7.6,1996,8
262,7.71,1996,7
263,7.82,1996,6
264,7.54,1996,5
