,Mortgage Rate,year,month
112,5.1,2009,1
113,5.1,2008,12
114,5.97,2008,11
115,6.46,2008,10
116,6.09,2008,9
117,6.4,2008,8
118,6.52,2008,7
119,6.45,2008,6
120,6.08,2008,5
121,6.03,2008,4
122,5.85,2008,3
123,6.24,2008,2
124,5.68,2008,1
125,6.17,2007,12
126,6.1,2007,11
127,6.33,2007,10
128,6.42,2007,9
129,6.45,2007,8
130,6.69,2007,7
131,6.67,2007,6
132,6.42,2007,5
133,6.16,2007,4
134,6.16,2007,3
135,6.22,2007,2
136,6.25,2007,1
137,6.18,2006,12
138,6.14,2006,11
139,6.4,2006,10
140,6.31,2006,9
141,6.44,2006,8
142,6.72,2006,7
143,6.78,2006,6
144,6.62,2006,5
145,6.58,2006,4
146,6.35,2006,3
147,6.26,2006,2
148,6.12,2006,1
149,6.22,2005,12
150,6.28,2005,11
151,6.15,2005,10
152,5.91,2005,9
153,5.77,2005,8
154,5.77,2005,7
155,5.53,2005,6
156,5.65,2005,5
157,5.78,2005,4
158,6.04,2005,3
159,5.69,2005,2
160,5.66,2005,1
161,5.81,2004,12
162,5.72,2004,11
163,5.64,2004,10
164,5.72,2004,9
165,5.82,2004,8
166,6.08,2004,7
167,6.25,2004,6
168,6.32,2004,5
169,6.01,2004,4
170,5.4,2004,3
171,5.58,2004,2
172,5.68,2004,1
173,5.85,2003,12
174,5.89,2003,11
175,5.94,2003,10
176,5.98,2003,9
177,6.32,2003,8
178,5.94,2003,7
179,5.24,2003,6
180,5.31,2003,5
181,5.79,2003,4
182,5.91,2003,3
183,5.79,2003,2
184,5.9,2003,1
185,5.93,2002,12
186,6.13,2002,11
187,6.31,2002,10
188,5.99,2002,9
189,6.22,2002,8
190,6.34,2002,7
191,6.55,2002,6
192,6.76,2002,5
193,6.88,2002,4
194,7.18,2002,3
195,6.81,2002,2
196,6.96,2002,1
197,7.16,2001,12
198,7.02,2001,11
199,6.64,2001,10
200,6.72,2001,9
201,6.92,2001,8
202,7.03,2001,7
203,7.11,2001,6
204,7.2,2001,5
205,7.12,2001,4
206,6.91,2001,3
207,7.12,2001,2
208,7.15,2001,1
209,7.13,2000,12
210,7.73,2000,11
211,7.68,2000,10
212,7.88,2000,9
213,7.99,2000,8
214,8.13,2000,7
215,8.22,2000,6
216,8.62,2000,5
217,8.13,2000,4
218,8.23,2000,3
219,8.31,2000,2
220,8.25,2000,1
221,8.06,1999,12
222,7.75,1999,11
223,7.96,1999,10
224,7.76,1999,9
225,7.8,1999,8
226,7.7,1999,7
227,7.63,1999,6
228,7.23,1999,5
229,6.93,1999,4
230,6.98,1999,3
231,6.89,1999,2
232,6.74,1999,1
233,6.83,1998,12
234,6.78,1998,11
235,6.83,1998,10
236,6.64,1998,9
237,6.92,1998,8
238,6.97,1998,7
239,6.96,1998,6
240,7.07,1998,5
241,7.15,1998,4
242,7.08,1998,3
243,7.09,1998,2
244,7.12,1998,1
245,6.99,1997,12
246,7.17,1997,11
247,7.21,1997,10
248,7.28,1997,9
249,7.58,1997,8
250,7.43,1997,7
251,7.58,1997,6
252,7.94,1997,5
253,8.08,1997,4
254,7.97,1997,3
255,7.65,1997,2
256,7.88,1997,1
257,7.64,1996,12
258,7.52,1996,11
259,7.86,1996,10
260,8.16,1996,9
261,8.09,1996,8
262,8.19,1996,7
263,8.29,1996,6
264,8.03,1996,5
265,7.92,1996,4
