,Mortgage Rate,year,month
0,4.56,2018,5
1,4.58,2018,4
2,4.44,2018,3
3,4.4,2018,2
4,4.15,2018,1
5,3.99,2017,12
6,3.9,2017,11
7,3.94,2017,10
8,3.83,2017,9
9,3.82,2017,8
10,3.92,2017,7
11,3.88,2017,6
12,3.95,2017,5
13,4.03,2017,4
14,4.14,2017,3
15,4.16,2017,2
16,4.19,2017,1
17,4.32,2016,12
18,4.03,2016,11
19,3.47,2016,10
20,3.42,2016,9
21,3.43,2016,8
22,3.48,2016,7
23,3.48,2016,6
24,3.64,2016,5
25,3.66,2016,4
26,3.71,2016,3
27,3.62,2016,2
28,3.79,2016,1
29,4.01,2015,12
30,3.95,2015,11
31,3.76,2015,10
32,3.86,2015,9
33,3.84,2015,8
34,3.98,2015,7
35,4.02,2015,6
36,3.87,2015,5
37,3.68,2015,4
38,3.69,2015,3
39,3.8,2015,2
40,3.66,2015,1
41,3.87,2014,12
42,3.97,2014,11
43,3.98,2014,10
44,4.2,2014,9
45,4.1,2014,8
46,4.12,2014,7
47,4.14,2014,6
48,4.12,2014,5
49,4.33,2014,4
50,4.4,2014,3
51,4.37,2014,2
52,4.32,2014,1
53,4.48,2013,12
54,4.29,2013,11
55,4.1,2013,10
56,4.32,2013,9
57,4.51,2013,8
58,4.31,2013,7
59,4.46,2013,6
60,3.81,2013,5
61,3.4,2013,4
62,3.57,2013,3
63,3.51,2013,2
64,3.53,2013,1
65,3.35,2012,12
66,3.32,2012,11
67,3.41,2012,10
68,3.4,2012,9
69,3.59,2012,8
70,3.49,2012,7
71,3.66,2012,6
72,3.75,2012,5
73,3.88,2012,4
74,3.99,2012,3
75,3.95,2012,2
76,3.98,2012,1
77,3.95,2011,12
78,3.98,2011,11
79,4.1,2011,10
80,4.01,2011,9
81,4.22,2011,8
82,4.55,2011,7
83,4.51,2011,6
84,4.6,2011,5
85,4.78,2011,4
86,4.86,2011,3
87,4.95,2011,2
88,4.8,2011,1
89,4.86,2010,12
90,4.4,2010,11
91,4.23,2010,10
92,4.32,2010,9
93,4.36,2010,8
94,4.54,2010,7
95,4.69,2010,6
96,4.78,2010,5
97,5.06,2010,4
98,4.99,2010,3
99,5.05,2010,2
100,4.98,2010,1
101,5.14,2009,12
102,4.78,2009,11
103,5.03,2009,10
104,5.04,2009,9
105,5.14,2009,8
106,5.25,2009,7
107,5.42,2009,6
108,4.91,2009,5
109,4.78,2009,4
110,4.85,2009,3
111,5.07,2009,2
