,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
141,78617,2008,10,5,0,382970,0
142,78617,2008,11,9,1,761040,1000
143,78617,2008,12,4,0,273345,0
144,78617,2009,1,13,0,911488,0
145,78617,2009,2,9,0,669660,0
146,78617,2009,3,14,1,1077349,0
147,78617,2009,4,24,0,1636836,0
148,78617,2009,5,6,1,461699,1800
149,78617,2009,6,13,0,853140,0
150,78617,2009,7,25,1,1749570,3900
151,78617,2009,8,16,0,1199932,0
152,78617,2009,9,20,2,1487569,1000
153,78617,2009,10,19,2,1377211,6405
154,78617,2009,11,5,0,373480,0
155,78617,2009,12,7,0,538921,0
156,78617,2010,1,9,0,636260,0
157,78617,2010,2,8,0,454173,0
158,78617,2010,3,16,0,1140095,0
159,78617,2010,4,5,0,301666,0
160,78617,2010,5,6,0,350365,0
161,78617,2010,6,10,0,690490,0
162,78617,2010,7,5,1,354562,1500
163,78617,2010,8,10,0,765914,0
164,78617,2010,9,7,1,524800,6000
165,78617,2010,10,5,1,343938,1000
166,78617,2010,12,1,0,78000,0
167,78617,2011,1,4,1,274498,1500
168,78617,2011,2,7,0,514463,0
169,78617,2011,3,8,0,603012,0
170,78617,2011,4,4,0,298409,0
171,78617,2011,5,5,0,331266,0
172,78617,2011,6,13,1,1085555,0
173,78617,2011,10,1,5,60458,41350
174,78617,2011,11,4,0,218774,0
175,78617,2011,12,6,0,552736,0
176,78617,2012,1,1,3,60000,4900
177,78617,2012,2,3,17,257564,22500
178,78617,2012,3,11,16,994144,19200
179,78617,2012,4,13,2,1175744,2400
180,78617,2012,5,22,0,1880036,0
181,78617,2012,6,7,0,560070,0
182,78617,2012,7,10,6,752795,54800
183,78617,2012,8,8,6,692505,8000
184,78617,2012,9,5,0,439335,0
185,78617,2012,10,5,9,431490,10800
186,78617,2012,11,6,15,668085,14400
187,78617,2012,12,6,1,548280,1200
188,78617,2013,1,14,0,1457740,0
189,78617,2013,2,6,6,519930,6000
190,78617,2013,3,5,12,447565,14400
191,78617,2013,4,11,9,1018260,10800
192,78617,2013,5,4,7,322640,8400
193,78617,2013,6,4,12,432820,14400
194,78617,2013,7,2,14,176220,24100
195,78617,2013,8,5,14,501535,19368
196,78617,2013,9,1,28,78000,21000
197,78617,2013,10,10,6,869560,47500
198,78617,2013,11,4,9,386460,5200
199,78617,2013,12,3,17,316920,23950
200,78617,2014,1,4,15,351560,39000
201,78617,2014,2,0,1,0,2700
202,78617,2014,3,0,16,0,41700
203,78617,2014,4,0,12,0,31700
204,78617,2014,5,0,12,0,29138
205,78617,2014,6,0,7,0,15200
206,78617,2014,7,0,6,0,16200
207,78617,2014,8,0,18,0,47800
208,78617,2014,9,4,5,446905,13500
209,78617,2014,10,3,27,417400,90826
210,78617,2014,11,0,13,0,37900
211,78617,2014,12,1,13,170000,35100
212,78617,2015,1,0,16,0,44688
213,78617,2015,2,0,12,0,15900
214,78617,2015,3,3,1,347305,3500
215,78617,2015,4,8,11,863460,22000
216,78617,2015,5,4,2,536580,7600
217,78617,2015,6,5,17,533580,46025
218,78617,2015,7,5,3,576220,5100
219,78617,2015,8,6,3,618220,3600
220,78617,2015,9,2,17,140620,18857
221,78617,2015,10,7,3,826055,27764
222,78617,2015,11,2,39,217165,736144
223,78617,2015,12,4,10,612885,17700
224,78617,2016,1,6,9,791570,10800
225,78617,2016,2,11,5,1264845,22500
226,78617,2016,3,18,9,2263293,16900
227,78617,2016,4,12,2,1610345,30000
228,78617,2016,5,19,4,2447585,36695
229,78617,2016,6,9,2,1005090,13300
230,78617,2016,7,10,1,1397276,1200
231,78617,2016,8,9,11,1297215,52200
232,78617,2016,9,5,5,653300,17500
233,78617,2016,10,4,5,491325,18500
234,78617,2016,11,7,0,1109175,0
235,78617,2016,12,4,2,670725,2400
236,78617,2017,1,3,5,432450,6000
237,78617,2017,2,0,2,0,2600
238,78617,2017,3,1,2,25000,4000
239,78617,2017,5,5,6,840000,16500
240,78617,2017,6,5,7,668950,48318
241,78617,2017,7,7,3,989525,11100
242,78617,2017,8,3,3,465150,6000
243,78617,2017,9,0,3,0,18400
244,78617,2017,10,0,4,0,80200
245,78617,2017,12,1,1,76740,4400
246,78617,2018,1,17,1,1925760,1200
247,78617,2018,2,6,1,730080,500
248,78617,2018,3,13,7,1336460,12200
249,78617,2018,4,11,0,1060380,0
250,78617,2018,5,5,2,646560,4000
251,78641,1998,10,0,1,0,64470
252,78641,1999,2,0,1,0,3500
253,78641,2011,7,1,0,20000,0
254,78652,2009,1,7,0,733930,0
255,78652,2009,2,15,0,1644100,0
256,78652,2009,3,4,0,476710,0
257,78652,2009,4,6,0,718190,0
258,78652,2009,5,3,0,343220,0
259,78652,2009,6,4,0,467960,0
260,78652,2009,7,9,0,1080610,0
261,78652,2009,8,1,0,103490,0
262,78652,2009,9,1,0,104490,0
263,78652,2009,10,3,0,350970,0
264,78652,2009,11,3,0,351220,0
265,78652,2009,12,5,0,579200,0
266,78652,2010,2,4,0,481960,0
267,78652,2010,3,1,0,126990,0
268,78652,2010,4,7,0,746930,0
269,78652,2010,5,2,0,240730,0
270,78652,2010,6,2,0,233480,0
271,78652,2010,8,1,0,105490,0
272,78652,2010,9,4,0,479210,0
273,78652,2010,10,5,0,583700,0
274,78652,2010,11,1,0,126740,0
275,78652,2010,12,4,1,411460,5550
276,78652,2011,1,2,0,223230,0
277,78652,2011,2,9,0,926320,0
278,78652,2011,3,6,0,686940,0
279,78652,2011,4,5,0,603700,0
280,78652,2011,5,8,0,938400,0
281,78652,2011,6,5,0,564950,0
282,78652,2011,8,1,0,101490,0
283,78652,2011,10,0,1,0,2000
284,78652,2014,2,2,0,598800,0
285,78652,2014,4,1,0,257025,0
286,78652,2014,5,1,0,326325,0
287,78652,2014,7,2,0,304679,0
288,78652,2014,8,26,0,3080160,0
289,78652,2014,9,15,0,1990452,0
290,78652,2014,10,19,0,2301131,0
291,78652,2014,11,6,0,751436,0
292,78652,2015,2,4,0,1323466,0
293,78652,2015,3,1,0,386000,0
294,78652,2015,4,2,0,1209328,0
295,78652,2015,5,3,0,950000,0
296,78652,2015,7,2,0,764578,0
297,78652,2015,11,3,0,1335200,0
298,78652,2015,12,6,0,927525,0
299,78652,2016,1,5,0,2209050,0
300,78652,2016,2,9,0,1224625,0
301,78652,2016,3,5,0,741040,0
302,78652,2016,4,14,0,2502330,0
303,78652,2016,5,21,0,4260585,0
304,78652,2016,6,12,0,2906241,0
305,78652,2016,7,5,0,812701,0
